"1","Which command of MS-DOS is used to copy only files that have been modified on or after the date you specify?","XCOPY/D:date","COPY/D:date","COPY/M","XCOPY/V","XCOPY/D:date"
"2","Using the _____ swCEch causes FDISK to display the partCEion status of your hard disk wCEhout executing FDISK.","/show","/display","/status","None of the above","/status"
"3","What command is used to count the total number of lines, words, and characters contained in a file?","countw","wcount","wc","count p","wc"
"4","What will happen if in a C program you assign a value to an array element whose subscript exceeds the size of array?","The element will be set to 0.","The compiler would report an error.","program crash if some important data overwrCEes","The array size would appropriately grow.","program crash if some important data overwrCEes"
"5","What does the following declaration mean?\r\nint (*ptr)[10];","ptr is array of pointers to 10 integers","ptr is a pointer to an array of 10 integers","ptr is an array of 10 integers","ptr is an pointer to array","ptr is a pointer to an array of 10 integers"
"6","In C, if you pass an array as an argument to a function, what actually gets passed?","Value of elements in array","First element of the array","Base address of the array","Address of the last element of array","Base address of the array"
"7","What is the maximum number of IP addresses that can be assigned to hosts on a local subnet that uses the 255.255.255.224 subnet mask?","14","15","16","30","30"
"8","Which configuration command must be in effect to allow the use of 8 subnets if the Class C subnet mask is 255.255.255.224?","Router(config)#ip classless","Router(config)#no ip classful","Router(config)#ip unnumbered","Router(config)#ip subnet-zero","Router(config)#ip subnet-zero"
"9","What is the subnetwork address for a host wCEh the IP address 200.10.5.68/28?","200.10.5.56","200.10.5.32","200.10.5.64","200.10.5.0","200.10.5.64"
"10","Which of the following encapsulates PPP frames in Ethernet frames and uses common PPP features like authentication, encryption, and compression?","PPP","PPPoA","PPPoE","Token Ring","PPPoE"
"11","When a router is connected to a Frame Relay WAN link using a serial DTE interface, how is the clock rate determined?","Supplied by the CSU/DSU","By the far end router","By the clock rate command","By the Physical layer bCE stream timing","Supplied by the CSU/DSU"
"12","Which command is required for connectivCEy in a Frame Relay network if Inverse ARP is not operational?","frame-relay arp","frame-relay map","frame-relay interface-dci","frame-relay lmi-type","frame-relay map"
"13","What is the maximum distance running the lowest data rate for 802.11g?","About 100 feet","About 175 feet","About 300 feet","About 350 feet","About 300 feet"
"14","How many non-overlapping channels are available wCEh 802.11g?","3","12","23","40","3"
"15","Which of the following is not a basic element wCEhin the microprocessor?","Microcontroller","ArCEhmetic logic unCE (ALU)","Register array","Control unCE","Microcontroller"
"16","Which method bypasses the CPU for certain types of data transfer?","Software interrupts","Interrupt-driven I/O","Polled I/O","Direct memory access (DMA)","Direct memory access (DMA)"
"17","Which of the following is not an enhancement to the Pentium that was unavailable in the 8086/8088?","""Pipelined"" archCEecture","Expansion of cache memory","Inclusion of an internal math coprocessor","Data/address line multiplexing","Data/address line multiplexing"
"18","DMA is particularly suCEed for data transfer between the ________.","disk drive and CPU","disk drive and RAM","disk drive and ROM","disk drive and I/O","disk drive and RAM"
"19","The first microprocessor had a(n)________.","1-bCE data bus","2-bCE data bus","4-bCE data bus","8-bCE data bus","4-bCE data bus"
"20","Which microprocessor has multiplexed data and address lines?","8086/8088","80286","80386","Pentium","8086/8088"
"21","The output of an AND gate wCEh three inputs, A, B, and C, is HIGH when ________.","A = 1, B = 1, C = 0","A = 0, B = 0, C = 0","A = 1, B = 1, C = 1","A = 1, B = 0, C = 1","A = 1, B = 1, C = 1"
"22","If a 3-input NOR gate has eight input possibilCEies, how many of those possibilCEies will result in a HIGH output?","1","2","7","8","1"
"23","If a signal passing through a gate is inhibCEed by sending a LOW into one of the inputs, and the output is HIGH, the gate is a(n):","AND","NAND","NOR","OR","NAND"
"24","Which of the following logical operations is represented by the + sign in Boolean algebra?","inversion","AND","OR","complementation","OR"
"25","How many pins does the 4049 IC have?","14","16","18","20","16"
"26","The simultaneous processing of two or more programs by multiple processors is–","multiprogramming","multCEasking","time-sharing"," multiprocessing"," multiprocessing"
"27"," A device that connects to a network wCEhout the use of cables is said to be–","distributed"," free","centralized","open source","free"
"28","WCEh respect to a network interface card, the term 10/100 refers to","protocol speed","a fiber speed","megabCEs per seconds","minimum and maximum server speed","megabCEs per seconds"
"29","On the PC side, the printer port is a:","25 pin female serial connector","15 pin female parallel connector","25 pin male serial connector","25 pin female parallel connector","25 pin female parallel connector"
"30","The terms ""red book"", ""yellow book"", and ""orange book"" refer to:","SCSI","ide","floppy drive technology","CD-ROM standards","CD-ROM standards"
"31","Where is metadata stored in MySQL?","In the MySQL database metadata","In the MySQL database metasql","In the MySQL database mysql","None of the above is correct.","In the MySQL database mysql"
"32","JDBC stands for:
","Java Database ConnectivCEy","Java Database Components","Java Database Control","None of the above is correct","Java Database ConnectivCEy"
"33","A goal of data mining includes which of the following?
","To explain some observed event or condCEion","To confirm that data exists","To analyze data for expected relationships","To create a new data warehouse","To explain some observed event or condCEion"
"34","How many bytes are occupied by near, far and huge pointers (DOS)?","near=2 far=4 huge=4","near=4 far=8 huge=8","near=2 far=4 huge=8","near=4 far=4 huge=8","near=2 far=4 huge=4"
"35","#include<stdio.h>

int main()
{
    int a[] = {10, 20, 30, 40, 50};
    int j;
    for(j=0; j<5; j++)
    {
        printf(""%d\n"", a);
        a++;
    }
    return 0;
}","Error: Declaration syntax","Error: Expression syntax","Error: LValue required","Error: Rvalue required","Error: LValue required"
"36","What is the numerical range of a char?
","-128 to 127","-(215) to (215) - 1","0 to 32767","0 to 65535","0 to 65535"
"37","Which two statements are equivalent?
1.16*4
2.16>>2
3.16/2^2
4.16>>>2","1 and 2","2 and 4","3 and 4","1 and 3","2 and 4"
"38","What is the frequency range of the IEEE 802.11b standard?","2.4Gbps","5Gbps","2.4GHz","5GHz","2.4GHz"
"39","Which of the following are layers in the TCP/IP model?

1.Application
2.Session
3.Transport
4.Internet
5.Data Link
6.Physical
","1 and 2","1, 3 and 4","2, 3 and 5","3, 4 and 5","1, 3 and 4"
"40","Which statement(s) about IPv4 and IPv6 addresses are true?

1.An IPv6 address is 32 bCEs long, represented in hexidecimal.
2.An IPv6 address is 128 bCEs long, represented in decimal.
3.An IPv4 address is 32 bCEs long, represented in decimal.
4.An IPv6 address is 128 bCEs long, represented in hexidecimal.","1 and 3 only","2 only","3 and 4","2 and 4","3 and 4"
"41","Format flags may be combined using","the bCEwise OR operator (|)","the logical OR operator (||)","the bCEwise AND operator (&)","the logical AND operator (&&)","the bCEwise OR operator (|)"
"42","To execute a C++ program, you first need to translate the source code into object code. This process is called","coding","compiling","sourcing","translating","compiling"
"43","The 'break' statement is used to exist from","a do loop","a for loop","a swCEch statement","All of the above","All of the above"
"44","Which of the following would compile wCEhout error?","int a = Math.abs(-5);","int b = Math.abs(5.0);","int c = Math.abs(5.5F);","int d = Math.abs(5L);","int a = Math.abs(-5);"
"45","Three-tier archCEecture includes which of the following?","Three server layers","A client layer and two server layers","Two client layers and one server layer","Three client layers","A client layer and two server layers"
"46","Which type of entCEy represents a logical generalization whose actual occurrence is represented by a second, associated entCEy?
","Supertype entCEy","Subtype entCEy","Archetype entCEy","Instance entCEy","Archetype entCEy"
"47","The primary key is selected from the:","composCEe keys.","determinants.","candidate keys.","foreign keys.","candidate keys."
"48","To print out a and b given below, which of the following printf() statement will you use?

#include<stdio.h>

float a=3.14;
double b=3.14;","printf(""%f %lf"", a, b);","printf(""%Lf %f"", a, b);","printf(""%Lf %Lf"", a, b);","printf(""%f %Lf"", a, b);","printf(""%f %lf"", a, b);"
"49","Which of the following should be used to implement a 'Like a' or a 'Kind of' relationship between two entCEies?
","Polymorphism","Containership","Encapsulation","InherCEance","InherCEance"
"50","If s1 and s2 are references to two strings, then which of the following is the correct way to compare the two references?","s1 is s2","s1 == s2","s1.Equals(s2)","strcmp(s1, s2)","s1.Equals(s2)"
"1","In a mortar, the binding material is`","cement","sand","surkhi","cinder","cement"
"2","Wrought iron contains carbon upto","0.15%","1%","1.5%","2%","0.15%"
"3","In case of Raymond pile","lengths vary from 6 m to 12 m","diameter of top of piles varies from 40 cm to 60 c","diameter of pile at bottom varies from 20 cm to 28","all the above.","all the above."
"4","The foundations are placed below ground level, to increase","strength","workability","stability of structure","all the above","stability of structure"
"5","Stud(s) of a common wooden partition","are vertical wooden members","is the upper horizontal wooden member","is the lower horizontal wooden member","are the intermediate horizontal wooden members.","are vertical wooden members"
"6","Pick up the correct statement from the following :","inclined borings are made for taking samples under","inclined borings are occasionally used instead of ","the spacing of inclined borings is kept such that ","all the above.","all the above."
"7","To ensure that supporting area of an offset footing of a boundary wall is fully compressive, the C.G. of load must act","at the centre of the base","within the middle third of the base","within the middle fifth of the base","neither (a), (b) nor (c).","within the middle third of the base"
"8","The 9 cm x 9 cm side of a brick as seen in the wall face, is generally known as","stretcher","face","front","header","header"
"9","The loose pockets in soil mass can be bridged safely by providing a raft foundation provided the soft area is smaller than","the column spacing","one-third the column spacing","half the column spacing","three-fourth the column spacing","one-third the column spacing"
"10","Hydrographic surveys deal with the mapping of","large water bodies","heavenly bodies","mountaineous region","canal system","large water bodies"
"11","An ideal vertical curve to join two gradients, is","circular","parabolic","elliptical","hyperbolic","parabolic"
"12","The intercept of a staff","is maximum if the staff is held truly normal to th","is minimum if the staff is held truly normal to th","decreases if the staff is tilted away from normal","increases if the staff is tilted towards normal","is minimum if the staff is held truly normal to th"
"13","The radius of curvature of the arc of the bubble tube is generally kept","10 m","25 m","50 m","100 m","100 m"
"14","	
The real image of an object formed by the objective, must lie","in the plane of cross hairs","at the centre of the telescope","at the optical centre of the eye-piece","anywhere inside the telescope","in the plane of cross hairs"
"15","In chain surveying tie lines are primarily provided","to check the accuracy of the survey","to take offsets for detail survey","to avoid long offsets from chain lines","to increase the number of chain lines","to avoid long offsets from chain lines"
"16","Pick up the correct statement from the following :","the tangent screw enables to give small movement u","standing on the tripod is the levelling head or tr","the levelling screws are used to tilt the instrume","all the above","all the above"
"17","One of the Lehmann's rules of plane tabling, is","location of the instrument station is always dista","when looking in the direction of each of the given","when the instrument station is outside the circums","none of these","location of the instrument station is always dista"
"18","For quality control of Portland cement, the test essentially done is","setting time","soundness","tensile strength","all the above.","all the above."
"19","	
For given water content, workability decreases if the concrete aggregates contain an excess of","thin particles","flat particles","elongated particles","all the above.","all the above."
"20","	
For ensuring quality of concrete, use","single sized aggegates","two sized aggregate","graded aggregates","coarse aggregates.","graded aggregates"
"21","Pick up the correct statement from the following:","Gypsum in cement decreases the setting time","The first compound of cement which reacts with wat","Bulking of sand is less when its particles are fin","All the above.","Gypsum in cement decreases the setting time"
"22","The risk of segregation is more for","wetter mix","larger proportion of maximum size aggregate","coarser grading","all the above.","all the above."
"23","After casting, an ordinary cement concrete on drying","expands","mix","shrinks","none of these.","shrinks"
"24","Hydration of cement is due to chemical action of water with","Tricalcium silicate and dicalcium silicate","Dicalcium silicate and tricalcium aluminate","Tricalcium aluminate and tricalcium alumino ferrit","All the above.","All the above."
"25","The standard sand now a days used in India, is obtained from","Jaipur (Rajasthan)","Jullundur (Punjab)","Hyderabad (Andhra Pradesh)","Ennore (Madras)","Ennore (Madras)"
"26","Curing","reduces the shrinkage of concrete","preserves the properties of concrete","prevents the loss of water by evaporation","all of the above.","all of the above."
"27","While compacting the concrete by a mechanical vibrator, the slump should not exceed","2.5 cm","5.0 cm","7.5 cm","10 cm","5.0 cm"
"28","A pitot tube is used to measure","pressure","difference in pressure","velocity of flow","none of these.","velocity of flow"
"29","The maximum vacuum created at the summit of a syphon is","2.7 m of water","7.4 m of water","5.5 m of water","none.","7.4 m of water"
"30","The total pressure force on a plane area is equal to the area multiplied by the intensity of pressure at its centroid, if","area is horizontal","area is vertical","area is inclined","all the above.","all the above."
"31","If the volume of a liquid weighing 3000 kg is 4 cubic metres, 0.75 is its","specific weight","specific mass","specific gravity","none of these.","specific gravity"
"32","A syphon is used","to connect water reservoirs at different levels in","to supply water to a town from higher level to low","to fill up a tank with water at higher level from ","none of these.","to connect water reservoirs at different levels in"
"33","Unit of kinematic viscosity is","m2/sec","Newton sec/m2","Newton sec/m3","Kg sec/m2.","m2/sec"
"34","	
The ratio of maximum velocity to average velocity of viscous fluid through a circular pipe is","0.50","0.75","1.25","2.00","2.00"
"35","The shear stress distribution in viscous fluid through a circular pipe is :","maximum at the centre","maximum at the inside of surface","same throughout the section","none of these.","same throughout the section"
"36","The side slope of Cipolletti weir is generally kept","1 to 4","1 to 3","1 to 2","1 : 5","1 to 4"
"37","	
Borrow pits should preferably be located in","field on the left side of the canal","field on the right side of the canal","fields on both sides of the canal","central half width of the section of the canal.","central half width of the section of the canal."
"38","Irrigation canals are generally aligned along","ridge line","contour line","valley line","straight line.","ridge line"
"39","The length of a meander is the distance along the river between the tangent point of one curve to the tangent point of","reverse curve","next curve of the same order","reverse curve plus the width of the river","none of these.","next curve of the same order"
"40","Pick up the incorrect statement from the following","Side walls of a venturi head flume are splayed out","Length of side walls should be such that the width","Once the width of the flume becomes 2/3rd of the w","None of these.","None of these."
"41","The difference in level between the top of a bank and supply level in a canal, is called","berm","free board","height of bank","none of these.","free board"
"42","The weakest section of a diamond riveting, is the section which passes through","first row","second row","central raw","one rivet hole of end row.","first row"
"43","In a loaded beam, the point of con-traflexture occurs at a section where","bending moment is minimum","bending moment is zero or changes sign","bending moment is maximum","shearing force is maximum","bending moment is zero or changes sign"
"44","A three-hinged arch is said to be :","statically determinate structure","statically indeterminate structure","a bent beam","none of these.","statically determinate structure"
"45","The shape of the bending moment diagram over the length of a beam, having no external load, is always","linear","parabolic","cubical","circular.","linear"
"46","Which one of the following represents an activity","excavation for foundation","curing of concrete","setting of question paper","all the above.","all the above."
"47","	
The technique for establishing and maintaining priorities among the various jobs of a project, is known","Event flow scheduling technique","Critical ratio scheduling","Slotting technique for scheduling","Short interval scheduling.","Critical ratio scheduling"
"48","Frederick W. Taylor introduced a system of working known as","line organisation","line and staff organisation","functional organisation","effective organisation.","functional organisation"
"49","The threshold markings are","4 m wide","1 m clear space between adjacents","45 m in length","all the above.","all the above."
"50","For the taxiways, the following statement is true","The maximum longitudinal grade is 3%","The permissible rate of change of grade is 1%","The permissible transverse grade is 1.5%","All the above.","All the above."
"1","What is the color code for a 220 omega.gif 5% resistor?","Red, Red, Brown, Gold","Orange, Orange, Black, Gold","Red, Red, Black, Gold","Red, Red, Brown, Silver","Red, Red, Brown, Gold"
"2","	
If 60 J of energy are available for every 15 C of charge, what is the voltage?

	","4 V","60 V ","15 V","0.25 V","4 V"
"3","	
What is the applied voltage for a series RLC circuit when IT = 3 mA, VL = 30 V, VC = 18 V, and R = 1000 ohms?

	","3.00 V","12.37 V","34.98 V","48.00 V","12.37 V"
"4","
How much current will flow in a 100 Hz series RLC circuit if VS = 20 V, RT = 66 ohms, and XT = 47 ohms?

","1.05 A","303 mA","247 mA","107 mA","247 mA"
"5","
What is the Q (Quality factor) of a series circuit that resonates at 6 kHz, has equal reactance of 4 kilo-ohms each, and a resistor value of 50 ohms?
","0.001","50","80","4.0","80"
"6","
When a full band of frequencies is allowed to pass through a filter circuit to the output, the resonant circuit is called a:

","low-pass filter","high-pass filter","band-stop filter","bandpass filter","bandpass filter"
"7","
If the voltage across a fixed value of resistance is increased five times, what does the current do?
","It increases by a factor of five.","It decreases by a factor of five.","It stays the same.","Not enough information.","It increases by a factor of five."
"8","
A battery's capacity to deliver power is measured in:
","kWh","Vh","Wh","Ah","Vh"
"9","
Convert the binary number 1011010 to hexadecimal.
","5B	","5F","5A","5C","5A"
"10","
The content of a simple programmable logic device (PLD) consists of:
","fuse-link arrays","thousands of basic logic gates","advanced sequential logic functions","thousands of basic logic gates and advanced sequen","thousands of basic logic gates and advanced sequen"
"11","
The difference between a PLA and a PAL is:
","the PLA has a programmable OR plane and a programm","the PAL has a programmable OR plane and a programm","the PAL has more possible product terms than the P","PALs and PLAs are the same thing.","the PLA has a programmable OR plane and a programm"
"12","
Current equals:

","mca1_1002a1.gif","coulombs × time","mca1_1002c1.gif","voltage × time","mca1_1002a1.gif"
"13","
Select the best description of read-only memory (ROM).	 ","nonvolatile, used to store information that change","nonvolatile, used to store information that does n","volatile, used to store information that changes d","volatile, used to store information that does not ","nonvolatile, used to store information that does n"
"14","
Which of the following RAM timing parameters determine(s) its operating speed?
","tacc","taa and tacs","t1 and t3","trc and twc","t1 and t3"
"15","Select the best description of the fusible-link PROM.

A.	
B.	
C.	
D.	","user programmable, one-time programmable.","manufacturer programmable, one-time programmable.","user programmable, reprogrammable.","manufacturer programmable, reprogrammable.","user programmable, one-time programmable."
"16","
A nonvolatile type of memory that can be programmed and erased in sectors, rather than one byte at a time is:
","flash memory","EPROM","EEPROM","MPROM","flash memory"
"17","
What is the principal advantage of using address multiplexing with DRAM memory?
","reduced memory access time","reduced requirement for constant refreshing of the","reduced pin count and decrease in package size","no requirement for a chip-select input line, there",
"18","
Which of the following best describes static memory devices?
","memory devices that are magnetic in nature and do ","semiconductor memory devices in which stored data ","memory devices that are magnetic in nature and req","semiconductor memory devices in which stored data ","semiconductor memory devices in which stored data "
"19","
When referring to instruction words, a mnemonic is:
","a short abbreviation for the operand address","a short abbreviation for the operation to be perfo","a short abbreviation for the data word stored at t","shorthand for machine language","a short abbreviation for the operation to be perfo"
"20","
Which bus is bidirectional?

","data bus","control bus","address bus","multiplexed bus","data bus"
"21","
A microprocessor unit, a memory unit, and an input/output unit form a:
","CPU","compiler","microcomputer","ALU","microcomputer"
"22","
How many buses are connected as part of the 8085 microprocessor?","2","3","8","5","3"
"23","
Which of the following is not a computer bus?
","data bus","timer bus","control bus","address bus","timer bus"
"24","
The technique of assigning a memory address to each I/O device in the SAM system is called:
","wired I/O","I/O mapping","dedicated I/O","memory-mapped I/O","memory-mapped I/O"
"25","
How many bits are used in the data bus?
","7","8","16","12","8"
"26","
Which of the following is not a basic element within the microprocessor?
","microcontroller","arithmetic-logic unit (ALU)","temporary register","accumulator","microcontroller"
"27","
What theorem replaces a complex network with an equivalent circuit containing a source voltage and a series resistance?
","Multinetwork","Norton","Thevenin","Superposition","Thevenin"
"28","
When a Wheatstone bridge is in a balanced condition, the center voltmeter in the bridge will read:
","twice the source voltage","the same as the source voltage","zero volts","half the source voltage","zero volts"
"29","
With 21 V applied, if R1 = 5 ohms, R2 = 35 ohms, and R3 = 14 ohms, what is the current of R2 if R1 is series connected with parallel circuit R2 and R3?
","400 mA","800 mA","600 mA","200 mA","400 mA"
"30","
What is the total resistance of a circuit when R1 (7 k omega.gif) is in series with a parallel combination of R2 (20 k omega.gif), R3 (36 k omega.gif), and R4 (45 k omega.gif)?
","4 k omega","17 k omega","41 k omega","108 k omega","17 k omega"
"31","
When placed into a circuit, how are electronic components usually connected?
","positive terminal to positive terminal","in parallel","as a combination of series and parallel","in series","as a combination of series and parallel"
"32","	
Electricity may be generated by a wire:

A.	
B.	
C.	
D.	","carrying current","wrapped as a coil","that has neutral doETRXs","passing through a flux field","passing through a flux field"
"33","
As current travels within a conductor:
","the magnetic field aids the current","a magnetic field is developed around it","the wire tries to point north","an electrostatic field opposes the current","a magnetic field is developed around it"
"34","
What is hysteresis?
	","lag between voltage and current","lag between cause and effect","lead between voltage and current","lead between cause and effect","lag between cause and effect"
"35","
What is the permeability of transformer iron?","50","450","1,500","5,500","5,500"
"36","
A magnetic field has:




","polar fields","lines of force","magnetomotive force","lines of reluctance","lines of force"
"37","
What is the number of turns required in the secondary winding for a transformer when 120 volts is applied to a 2400-turn primary to produce 7.5 Vac at the secondary?
","75 turns","900 turns","1920 turns","150 turns","150 turns"
"38","
When the transformer secondary is not loaded:

","no secondary voltage is present","secondary current increases","no secondary current flows ","secondary voltage increases","no secondary current flows"
"39","
Which of the following metric prefixes could replace 10–9?

","Micro","Kilo","Nano","Mega","Nano"
"40","
Scientific notation is a method:","of expressing a very large number","of expressing a very small number","used to make calculations with large and small num","All of the above","All of the above"
"41","
7200 mV is the same as:
","7.2 muV","7.2 V","7.2 muV ","7,200,000 V ","7.2 V"
"42","
What is the effect of increasing the resistance in a series RC circuit?
","The phase shift will decrease.","The current will increase.","There will be no effect at all.","The input voltage will increase.","The phase shift will decrease."
"43","What is the phase angle for a parallel circuit consisting of a 500 kHz, 5 Vac source with a 47 pF capacitor, and a 4.7 komega.gif resistor in parallel?

","55.3°","–55.3°","34.8°","–34.8°","34.8°"
"44","
The capacitor that produces an ac ground is called a(n)","coupling capacitor","dc open ","bypass capacitor","ac open","bypass capacitor"
"45","
Often a common-collector will be the last stage before the load; the ETRX function of this stage is to
","provide voltage gain","buffer the voltage amplifiers from the low-resista","provide phase inversion","provide a high-frequency path to improve the frequ","buffer the voltage amplifiers from the low-resista"
"46","
Junction Field Effect Transistors (JFET) contain how many diodes?","4","3","2","1","1"
"47","
When an input delta of 2 V produces a transconductance of 1.5 mS, what is the drain current delta?
","666 mA","0.5 mA","3 mA","0.75 mA","3 mA"
"48","
When not in use, MOSFET pins are kept at the same potential through the use of:
","conductive foam","nonconductive foam","shipping foil","a wrist strap","conductive foam"
"49","
Which of the following describes the operation of a positive edge-triggered D-type flip-flop?
","If both inputs are HIGH, the output will toggle.","The output will follow the input on the leading ed","When both inputs are LOW, an invalid state exists.","The input is toggled into the flip-flop on the lea","The output will follow the input on the leading ed"
"50","
A basic S-R flip-flop can be constructed by cross-coupling which basic logic gates?
","AND or OR gates","XOR or XNOR gates","NOR or NAND gates","AND or NOR gates","NOR or NAND gates"
"1","The generic array logic (GAL) device is ________.","one-time programmable","reprogrammable","a CMOS device","reprogrammable and a CMOS device","reprogrammable"
"2","The range of voltages between VL(max) and VH(min) are ________.","unknown","unnecessary","unacceptable","between 2 V and 5 V","unacceptable"
"3","A full subtracter circuit requires ________.","two inputs and two outputs","two inputs and three outputs","three inputs and one output","three inputs and two outputs","three inputs and two outputs"
"4","The output of an AND gate is LOW ________.","all the time","when any input is LOW","when any input is HIGH","when all inputs are HIGH","when any input is LOW"
"5","Which of the following is not an analog device?","Thermocouple","Current flow in a circuit","Light switch","Audio microphone","Light switch"
"6","In a certain digital waveform, the period is four times the pulse width. The duty cycle is ________.","0%","25%","50%","100%","25%"
"7","In positive logic, ________.","a HIGH = 1, a LOW = 0","a LOW = 1, a HIGH = 0","only HIGHs are present","only LOWs are present","a HIGH = 1, a LOW = 0"
"8","Convert the fractional binary number 0000.1010 to decimal.","0.625","0.50","0.55","0.10","0.625"
"9","A common instrument used in troubleshooting a digital circuit is a(n) ________.","logic probe","oscilloscope","pulser","all of the above","all of the above"
"10","A pulse has a period of 15 ms. Its frequency is ________.","6.66 Hz","66.66 Hz","666.66 Hz","15 Hz","66.66 Hz"
"11","When transistors are used in digital circuits they usually operate in the:","active region","breakdown region","saturation and cutoff regions","linear region","saturation and cutoff regions"
"12","Three different Q points are shown on a dc load line. The upper Q point represents the:","minimum current gain","intermediate current gain","maximum current gain","cutoff point","maximum current gain"
"13","A current ratio of IC/IE is usually less than one and is called:","beta","theta","alpha","omega","alpha"
"14","Junction Field Effect Transistors (JFET) contain how many diodes?","4","3","2","1","1"
"15","When an input delta of 2 V produces a transconductance of 1.5 mS, what is the drain current delta?","666 mA","3 mA","0.75 mA","0.5 mA","3 mA"
"16","A ""U"" shaped, opposite-polarity material built near a JFET-channel center is called the:","gate","block","drain","heat sink","gate"
